Focus,Mag,H-Value,V-Value
-0.85,0.55,1.45,1.515
-0.8,0.55,1.46,1.514
-0.75,0.55,1.46,1.52
-0.7,0.55,1.46,1.502
-0.65,0.55,1.46,1.532
-0.6,0.55,1.47,1.556
-0.55,0.55,1.47,1.545
-0.5,0.55,1.46,1.507
-0.45,0.55,1.46,1.507
-0.4,0.55,1.47,1.515
-0.35,0.55,1.47,1.521
-0.3,0.55,1.47,1.541
-0.25,0.55,1.48,1.544
-0.2,0.55,1.47,1.537
-0.15,0.55,1.47,1.529
-0.1,0.55,1.47,1.528
-0.05,0.55,1.47,1.509
0,0.55,1.47,1.519
0.05,0.55,1.48,1.515
0.1,0.55,1.47,1.525
0.15,0.55,1.47,1.502
0.2,0.55,1.47,1.509
0.25,0.55,1.48,1.518
0.3,0.55,1.47,1.548
0.35,0.55,1.48,1.52
0.4,0.55,1.48,1.487
0.45,0.55,1.49,1.54
0.5,0.55,1.48,1.5
0.55,0.55,1.48,1.498
0.6,0.55,1.48,1.518
0.65,0.55,1.48,1.513
0.7,0.55,1.48,1.513
0.75,0.55,1.49,1.522
0.8,0.55,1.48,1.514
0.85,0.55,1.49,1.522
0.9,0.55,1.48,1.524
0.95,0.55,1.47,1.482
1,0.55,1.47,1.487
1.05,0.55,1.48,1.505
1.1,0.55,1.48,1.485
1.15,0.55,1.45,1.464
1.2,0.55,1.44,1.435
1.25,0.55,1.38,1.433
1.3,0.55,1.25,1.42
1.35,0.55,1.16,1.413
1.4,0.55,0.86,1.277
1.45,0.55,0.9,1.15
1.5,0.55,0.94,0.956
1.55,0.55,0.88,0.781
1.6,0.55,0.89,1.08
1.65,0.55,0.87,1.11
1.7,0.55,0.85,1.13
1.75,0.55,0.89,1.14
1.8,0.55,0.84,0.984
1.85,0.55,0.86,0.998
1.9,0.55,0.87,1.051
1.95,0.55,0.88,1.089
